,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,number_of_layers,speed
0,1704567650.910472,0,0.0,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
1,1704567651.330073,0,0.0,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
2,1704567651.505325,0,0.0,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
3,1704567652.029343,1,0.25,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
4,1704567652.203091,0,0.2,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
5,1704567652.584091,0,0.16666666666666666,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
6,1704567652.77503,0,0.14285714285714285,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
7,1704567653.057526,0,0.125,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
8,1704567653.273741,0,0.1111111111111111,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
9,1704567654.360706,1,0.2,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
10,1704567654.730466,0,0.18181818181818182,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
11,1704567655.445436,1,0.25,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
12,1704567655.669467,0,0.23076923076923078,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
13,1704567656.022514,1,0.2857142857142857,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
14,1704567656.231842,1,0.3333333333333333,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
15,1704567656.551859,1,0.375,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
16,1704567656.925301,0,0.35294117647058826,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
17,1704567657.745329,0,0.3333333333333333,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
18,1704567658.25148,0,0.3157894736842105,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
19,1704567658.629296,0,0.3,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
20,1704567658.977434,0,0.2857142857142857,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
21,1704567659.48728,0,0.2727272727272727,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
22,1704567660.125272,0,0.2608695652173913,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
23,1704567660.419807,1,0.2916666666666667,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
24,1704567660.637782,0,0.28,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
25,1704567661.051404,1,0.3076923076923077,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
26,1704567661.234626,0,0.2962962962962963,63dd216ecd9066dca6bf18e59f0d5bfb594d9877367732300437b233037de79ffec583a9f61f8604d89ec17c48e96e7e1cf896260e5d4af5ea6bede1f1b267ff,1704574921.966172,-10,27,100,100,100,512,1000
