,ts,scores,mean_scores,agent_hash,agent_timestamp,model
0,1704712725.621209,49,49.0,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
1,1704712726.393551,20,34.5,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
2,1704712728.243454,46,38.333333333333336,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
3,1704712729.921379,46,40.25,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
4,1704712730.897778,26,37.4,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
5,1704712732.342025,37,37.333333333333336,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
6,1704712733.102579,19,34.714285714285715,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
7,1704712734.700035,41,35.5,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
8,1704712735.851041,28,34.666666666666664,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
9,1704712737.337253,41,35.3,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
10,1704712738.835719,39,35.63636363636363,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
11,1704712739.128676,1,32.75,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
12,1704712740.09408,25,32.15384615384615,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
13,1704712741.533612,1,29.928571428571427,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
14,1704712742.869743,41,30.666666666666668,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
15,1704712744.34027,45,31.5625,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
16,1704712745.188699,27,31.294117647058822,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
17,1704712746.602932,53,32.5,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
18,1704712748.032733,44,33.10526315789474,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
19,1704712748.92745,27,32.8,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
20,1704712750.077495,35,32.904761904761905,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
21,1704712751.021415,31,32.81818181818182,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
22,1704712752.418954,49,33.52173913043478,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
23,1704712752.861364,6,32.375,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
24,1704712753.833948,28,32.2,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
25,1704712755.054011,45,32.69230769230769,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
26,1704712756.011567,25,32.407407407407405,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
27,1704712756.921049,25,32.142857142857146,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
28,1704712758.095006,34,32.206896551724135,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
29,1704712759.056125,34,32.266666666666666,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
30,1704712760.062626,34,32.32258064516129,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
31,1704712761.492066,41,32.59375,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
32,1704712762.389292,29,32.484848484848484,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
33,1704712763.894562,43,32.794117647058826,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
34,1704712765.553922,47,33.2,7e65e96d6ee3b71cedbd675c7f3835d3ddae49d76ef3b9206be8b078d01a180c87e0ee43f5dec8512899dae269d81a7ecde3d12c03588ed2ab0d00519cbada7d,1704712723.948534,final_model_long_8000_0.0007_0.82_maxscore
