,ts,scores,mean_scores,agent_hash,agent_timestamp,batch_size,learning_rate,gamma
0,1704676279.980026,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
1,1704676280.305752,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
2,1704676281.116166,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
3,1704676281.405141,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
4,1704676281.705886,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
5,1704676282.313471,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
6,1704676282.68667,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
7,1704676283.490339,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
8,1704676284.944042,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
9,1704676285.873934,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
10,1704676286.316337,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
11,1704676287.389991,0,0.0,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
12,1704676290.072214,1,0.07692307692307693,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
13,1704676290.587529,1,0.14285714285714285,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
14,1704676291.359024,0,0.13333333333333333,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
15,1704676291.691887,1,0.1875,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
16,1704676292.341299,1,0.23529411764705882,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
17,1704676294.083254,0,0.2222222222222222,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
18,1704676294.379489,0,0.21052631578947367,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
19,1704676295.930629,0,0.2,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
20,1704676297.138706,0,0.19047619047619047,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
21,1704676297.838643,0,0.18181818181818182,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
22,1704676298.266465,0,0.17391304347826086,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
23,1704676300.515762,1,0.20833333333333334,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
24,1704676301.427589,0,0.2,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
25,1704676302.735843,0,0.19230769230769232,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
26,1704676303.079637,0,0.18518518518518517,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
27,1704676303.297602,0,0.17857142857142858,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
28,1704676307.379669,2,0.2413793103448276,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
29,1704676308.129048,2,0.3,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
30,1704676308.710254,1,0.3225806451612903,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
31,1704676309.484893,1,0.34375,b676bae92a4b604cd1cb1da4a53d615bb5da652a8440312e1c41b8811cd31db7a6f327d640d87d5523cd709a31c88c1588be968bd0d612fd91e6a1c4c5eeac31,1704676279.220574,5500,0.001,0.9
