,ts,scores,mean_scores,agent_hash,agent_timestamp,model
0,1704711242.399608,20,20.0,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
1,1704711242.933591,11,15.5,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
2,1704711244.06683,32,21.0,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
3,1704711245.784317,43,26.5,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
4,1704711247.158059,40,29.2,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
5,1704711247.555019,7,25.5,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
6,1704711248.313527,19,24.571428571428573,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
7,1704711249.324706,23,24.375,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
8,1704711250.56686,33,25.333333333333332,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
9,1704711251.279397,16,24.4,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
10,1704711252.02529,19,23.90909090909091,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
11,1704711252.914279,19,23.5,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
12,1704711253.878071,28,23.846153846153847,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
13,1704711254.61887,20,23.571428571428573,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
14,1704711255.879178,34,24.266666666666666,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
15,1704711257.092034,35,24.9375,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
16,1704711258.385414,35,25.529411764705884,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
17,1704711259.119321,17,25.055555555555557,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
18,1704711259.869864,17,24.63157894736842,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
19,1704711260.901813,29,24.85,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
20,1704711261.469789,14,24.333333333333332,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
21,1704711262.774923,40,25.045454545454547,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
22,1704711263.339245,13,24.52173913043478,dfee84eac67a16610d665faa998deec70c83ddeaebb241c675f86acc0436a6cbd9baf75bb6f07626dd394f26bf377a5f303810c7a36160bc0701e1fdcfc19d06,1704711241.807373,final_model_8000_0.0009_0.82_maxmean
