,ts,scores,mean_scores,agent_hash,agent_timestamp,model
0,1704711531.201478,33,33.0,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
1,1704711531.772873,15,24.0,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
2,1704711532.552189,24,24.0,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
3,1704711533.054357,12,21.0,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
4,1704711533.295483,1,17.0,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
5,1704711533.879652,19,17.333333333333332,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
6,1704711534.543406,17,17.285714285714285,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
7,1704711535.488832,26,18.375,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
8,1704711536.761533,40,20.77777777777778,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
9,1704711537.510708,16,20.3,9a2faa46ac7e8ceb04ba61805c5bc0d2665aee2427e9051d43ba7d307761d242cba02c78a3a4fb27591abd2fe64f149244c6a52f6a51e8099006274513625cd2,1704711530.378678,final_model_8000_0.0009_0.75_final
