,ts,scores,mean_scores,agent_hash,agent_timestamp,batch_size,learning_rate,gamma
0,1704700470.322673,0,0.0,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
1,1704700470.439571,0,0.0,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
2,1704700470.786053,1,0.3333333333333333,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
3,1704700470.871629,0,0.25,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
4,1704700471.02219,0,0.2,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
5,1704700471.154595,0,0.16666666666666666,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
6,1704700471.325241,0,0.14285714285714285,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
7,1704700471.447208,0,0.125,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
8,1704700471.64542,0,0.1111111111111111,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
9,1704700471.886159,0,0.1,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
10,1704700472.042805,0,0.09090909090909091,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
11,1704700472.259727,0,0.08333333333333333,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
12,1704700472.698052,0,0.07692307692307693,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
13,1704700473.128329,0,0.07142857142857142,d4c1025131edb01df52e144bb23130a4eb4b014006a30ad7921a274d98fc44aa5fcf1ff56a0c33b6eeefcb70284ed72cd05d37f928a86ed27f918a74181ab65f,1704700469.696204,8000,0.0007,0.82
