,ts,scores,mean_scores,agent_hash,agent_timestamp,model
0,1704710966.007197,49,49.0,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
1,1704710968.124906,46,47.5,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
2,1704710969.439753,34,43.0,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
3,1704710970.321271,17,36.5,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
4,1704710972.142734,11,31.4,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
5,1704710973.813515,43,33.333333333333336,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
6,1704710974.992727,29,32.714285714285715,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
7,1704710976.683826,40,33.625,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
8,1704710978.126614,32,33.44444444444444,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
9,1704710979.341508,32,33.3,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
10,1704710980.069711,18,31.90909090909091,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
11,1704710981.708506,0,29.25,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
12,1704710982.984234,31,29.384615384615383,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
13,1704710983.744874,20,28.714285714285715,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
14,1704710985.668811,11,27.533333333333335,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
15,1704710987.642998,46,28.6875,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
16,1704710989.0819,37,29.176470588235293,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
17,1704710990.459242,33,29.38888888888889,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
18,1704710991.804648,29,29.36842105263158,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
19,1704710992.984201,29,29.35,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
20,1704710994.618096,28,29.285714285714285,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
21,1704710995.738473,23,29.0,a52f5ca25e8f8dd64e0e55206cb1c2d2db0f23690c782a0b2eb5c01532f4990944cfa7362e9c6545e638c07fc10f832bd3c39aea4d063a9b5a1f5d4134b405c8,1704710964.089152,final_model_8000_0.0007_0.87_maxmean
