,ts,scores,mean_scores,agent_hash,agent_timestamp,model
0,1704711119.976064,48,48.0,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
1,1704711120.803646,20,34.0,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
2,1704711121.987296,26,31.333333333333332,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
3,1704711122.697083,12,26.5,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
4,1704711123.532864,12,23.6,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
5,1704711124.224925,12,21.666666666666668,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
6,1704711125.158437,19,21.285714285714285,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
7,1704711127.051287,41,23.75,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
8,1704711128.778108,32,24.666666666666668,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
9,1704711129.610882,16,23.8,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
10,1704711130.440502,17,23.181818181818183,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
11,1704711131.722402,19,22.833333333333332,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
12,1704711132.937383,24,22.923076923076923,f7aa37c08391413d637555602d65392476d9c274b98a5d1d3385c512218ad499f8faec082ac97e29413c1d3808e565446eecdf2caa81a7b25dce9f1e16cd9d4d,1704711118.006059,final_model_8000_0.0007_0.82_maxmean
